start,end,title,description,type,level0,level1,level2,latitude,longitude
2023-01,2027-04,Programma Hercules,"Grootschalig logistiek programma gericht op procesverbetering en systeemvernieuwing.",program,Hercules,,,,
2025-06,2026-11,Programma HR 2.1,"Modernisering van het recruitmentproces en integratie met operationele systemen.",program,HR2.1,,,,
2024-05,2026-03,Programma Groener-Groenst,"Strategisch programma voor het verankeren van duurzaamheid en ESG-rapportage.",program,Groener-Groenst,,,,
2024,2027,Organisatie Borealis,"Overkoepelende bedrijfsactiviteiten, IT-infra en strategische mijlpalen van Borealis BV.",organization,Organisatie,,,,
2023-01,2025-11,Hercules Initiële Fase,"De opstart en vroege uitvoering van het Hercules programma voor de logistieke hubs. ",phase,Hercules,Projectvoortgang,,,
2024-05,2024-05,Kick-off Groener-Groenst,"Officiële start van het duurzaamheidsprogramma en publieke aankondiging. ",milestone,Groener-Groenst,ESG,Start,,
2024-06,2024-06,Overname Bizznick,"Acquisitie van Bizznick waardoor Google Workspace gebruikers instroomden. ",event,Organisatie,IT,M&A,,
2024-09,2024-09,ESG Baseline Gereed,"Afronding van de eerste emissie- en ESG-nulmeting. ",milestone,Groener-Groenst,ESG,Baseline,,
2024-10,2024-10,Einde HR 2.0,"Het vorige HR-programma houdt op te bestaan na het vertrek van de manager. ",event,HR2.1,Historie,,,
2024-12,2024-12,Start ESG-campagne,"Lancering van de interne campagne 'Groener-Groenst' om medewerkers te activeren. ",event,Groener-Groenst,ESG,Communicatie,,
2024-12-01,2024-12-01,Start Logistieke Pilot,"Aanvang van de pilotfase in de twee logistieke hubs voor Hercules. ",milestone,Hercules,Projectvoortgang,Pilot,,
2025-03-01,2025-03-01,Aantreden CIO,"Ingrid Larsen start als nieuwe CIO van Borealis BV. ",event,Organisatie,IT,Leadership,,
2025-03,2025-03,ESG Leiderschapstraining,"Training voor executives om draagvlak voor duurzaamheid te vergroten. ",event,Groener-Groenst,ESG,Training,,
2025-04,2025-06,ServiceNow Upgrade,"Technische upgrade van het ServiceNow platform in het tweede kwartaal. ",project,Organisatie,IT,Upgrade,,
2025-06,2025-06,Start HR 2.1,"Officiële startdatum van het vernieuwde recruitmentprogramma onder leiding van de CEO. ",milestone,HR2.1,Projectvoortgang,Start,,
2025-07,2025-09,M365 Migratie,"Migratie van Google Workspace naar Microsoft 365 en EntraId voor ex-Bizznick medewerkers. ",project,Organisatie,IT,Migratie,,
2025-08,2025-08,Design HR-Proces,"Afronding van het procesontwerp en de pakketselectie voor HR 2.1. ",milestone,HR2.1,Projectvoortgang,Design,,
2025-09-30,2025-09-30,Meetmoment Groener-Groenst,"Deadline voor Hercules om betrouwbare data te leveren voor de milieumeting. ",milestone,Hercules,Integratie,ESG,,
2025-10-15,2025-10-15,Grote Integratietest,"Cruciale test tussen HR 2.1, Identity Management en Hercules voor automatische autorisaties. ",test,HR2.1,Testing,Integratie,,
2025-11,2026-08,Copilot Uitrol,"Stapsgewijze implementatie van Copilot voor M365 binnen de organisatie. ",project,Organisatie,IT,AI,,
